2022-04-05 17:46:48.517[1649152008517] | INFO  | main       | c.s.b.BalanceMonitorApplication      - Starting BalanceMonitorApplication using Java 17.0.2 on shanzhenlongdeMacBook-Pro.local with PID 74401 (/Users/shanzhenlong/IdeaProjects/binance-api/balance-monitor/target/classes started by shanzhenlong in /Users/shanzhenlong/IdeaProjects/binance-api)
2022-04-05 17:46:48.519[1649152008519] | INFO  | main       | c.s.b.BalanceMonitorApplication      - No active profile set, falling back to 1 default profile: "default"
2022-04-05 17:46:48.891[1649152008891] | INFO  | main       | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/api/v3/userDataStream
2022-04-05 17:46:49.550[1649152009550] | INFO  | main       | c.b.c.c.utils.WebSocketConnection    - [Connection 1] Connecting to stream.binance.com/ws/r2k8fL2qJdylqh7kLfPxZy0pCv1sFtoYxOgwdsV2nL4hUFiQN6TszuIR0KMI
2022-04-05 17:46:49.554[1649152009554] | INFO  | binance-listen-key-refresher | c.b.c.client.utils.RequestHandler    - PUT https://api.binance.com/api/v3/userDataStream?listenKey=r2k8fL2qJdylqh7kLfPxZy0pCv1sFtoYxOgwdsV2nL4hUFiQN6TszuIR0KMI
2022-04-05 17:46:49.662[1649152009662] | INFO  | binance-listen-key-refresher | c.s.b.socket.BalanceMonitorSocket$1  - extendListenKey [r2k8fL2qJdylqh7kLfPxZy0pCv1sFtoYxOgwdsV2nL4hUFiQN6TszuIR0KMI] [{}]
2022-04-05 17:46:49.809[1649152009809] | INFO  | main       | c.s.b.BalanceMonitorApplication      - Started BalanceMonitorApplication in 1.49 seconds (JVM running for 2.193)
2022-04-05 17:46:50.350[1649152010350] | INFO  | OkHttp https://stream.binance.com:9443/... | c.b.c.c.utils.WebSocketConnection    - [Connection 1] Connected to Server
2022-04-05 17:46:50.350[1649152010350] | INFO  | OkHttp https://stream.binance.com:9443/... | c.s.b.socket.BalanceMonitorSocket    - info webSocket callback [null]
2022-04-05 17:47:16.438[1649152036438] | INFO  | main       | c.s.b.BalanceMonitorApplication      - Starting BalanceMonitorApplication using Java 17.0.2 on shanzhenlongdeMacBook-Pro.local with PID 74413 (/Users/shanzhenlong/IdeaProjects/binance-api/balance-monitor/target/classes started by shanzhenlong in /Users/shanzhenlong/IdeaProjects/binance-api)
2022-04-05 17:47:16.440[1649152036440] | INFO  | main       | c.s.b.BalanceMonitorApplication      - No active profile set, falling back to 1 default profile: "default"
2022-04-05 17:47:16.823[1649152036823] | INFO  | main       | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/api/v3/userDataStream
2022-04-05 17:47:17.321[1649152037321] | INFO  | main       | c.b.c.c.utils.WebSocketConnection    - [Connection 1] Connecting to stream.binance.com/ws/r2k8fL2qJdylqh7kLfPxZy0pCv1sFtoYxOgwdsV2nL4hUFiQN6TszuIR0KMI
